ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명
108900011,강북10-1,27,108900160,9840,향천사입구
114900002,양천02,27,114000044,15146,목동한신청구아파트
121900004,서초20,27,121900133,22893,하이브랜드.코스트코.이마트
117900002,금천04,27,213000432,38510,기아자동차정문
100100340,7021,27,112000077,13160,정원여중
100100538,6018,27,161000332,92606,공항입구JC
100100418,6011,27,161000332,92606,공항입구JC
100100096,643,27,120000026,21125,예술인마을.사당초등학교
100100423,6016,27,161010557,92644,영종대교(가상)
118900003,영등포06,27,118900168,19740,놀이터
118900002,영등포07,27,118900168,19740,놀이터
118900004,영등포02,27,118900113,19844,현대3차유원아파트
123000007,6009-1,27,167010602,41999,김포공항IC(가상)
100100362,7733,27,113000410,14332,월드컵공원입구.문화비축기지입구
100100322,6654,27,118000144,19229,대윤병원
108900010,도봉02,27,109900040,10780,약초원.동아슈퍼
100100564,320,27,106000109,7204,면목동금호어울림아파트
100100158,1143,27,207000476,61502,수락리버시티1단지후문
